TrackId,TrackName,AlbumTitle,ArtistName
1,For Those About To Rock (We Salute You),For Those About To Rock We Salute You,AC/DC
6,Put The Finger On You,For Those About To Rock We Salute You,AC/DC
7,Let's Get It Up,For Those About To Rock We Salute You,AC/DC
8,Inject The Venom,For Those About To Rock We Salute You,AC/DC
9,Snowballed,For Those About To Rock We Salute You,AC/DC
10,Evil Walks,For Those About To Rock We Salute You,AC/DC
11,C.O.D.,For Those About To Rock We Salute You,AC/DC
12,Breaking The Rules,For Those About To Rock We Salute You,AC/DC
13,Night Of The Long Knives,For Those About To Rock We Salute You,AC/DC
14,Spellbound,For Those About To Rock We Salute You,AC/DC
15,Go Down,Let There Be Rock,AC/DC
16,Dog Eat Dog,Let There Be Rock,AC/DC
17,Let There Be Rock,Let There Be Rock,AC/DC
18,Bad Boy Boogie,Let There Be Rock,AC/DC
19,Problem Child,Let There Be Rock,AC/DC
20,Overdose,Let There Be Rock,AC/DC
21,Hell Ain't A Bad Place To Be,Let There Be Rock,AC/DC
22,Whole Lotta Rosie,Let There Be Rock,AC/DC
