Country,TotalSales
USA,523.0600000000003
Canada,303.9599999999999
France,195.09999999999994
Brazil,190.09999999999997
Germany,156.48
United Kingdom,112.85999999999999
Czech Republic,90.24000000000001
Portugal,77.23999999999998
India,75.25999999999999
Chile,46.62
Ireland,45.62
Hungary,45.62
Austria,42.62
Finland,41.620000000000005
Netherlands,40.62
Norway,39.62
Sweden,38.620000000000005
Poland,37.620000000000005
Italy,37.620000000000005
Denmark,37.620000000000005
Australia,37.620000000000005
Argentina,37.620000000000005
Spain,37.62
Belgium,37.62
